Date, TIME_GPS, Altitude, Latitude, Longitude, CH4_dry
5/14/2012,67282,391.54604,37.3331478,-120.56399,1.99731264
1/28/2013,75934,252.9193583,37.00364607,-120.2664883,1.997302189
7/15/2014,74030,289.5840176,37.6285333,-121.0860841,1.99730065
7/29/2015,75714,219.4005,38.51932,-121.181,1.997286
6/4/2014,68402,283.707,38.35412,-121.454,1.997277
11/18/2013,78878,295.1894,38.4921,-121.565,1.997274
1/28/2013,75783,284.8411757,37.0321798,-120.1638072,1.997262288
10/7/2015,73416,580.6364,37.27003,-122.027,1.997258
2/13/2013,72713,257.3755405,36.26347657,-121.1703015,1.997232521
3/17/2016,73951,297.2228,38.87252,-121.512,1.997199
3/30/2016,73898,298.4546,37.24362,-121.085,1.997141
3/30/2016,71697,323.2249,36.52623,-119.742,1.997117
7/15/2014,74950,298.4056907,37.36648992,-120.5532323,1.997106046
6/11/2015,68223,613.2387,38.67743,-121.159,1.997106
4/24/2015,78376,458.399,35.60615,-119.105,1.997099
3/17/2016,73893,304.9914,38.87433,-121.425,1.997088
2/13/2014,79905,398.4555,36.92791,-120.939,1.99707
7/29/2015,77487,627.1133,38.75348,-121.261,1.997066
4/24/2015,78323,439.1206,35.61004,-119.027,1.99706
11/18/2013,79028,292.9468,38.3612,-121.499,1.997057
6/11/2015,69121,457.4976,38.76646,-121.246,1.997039
3/17/2016,71971,469.3518,38.47393,-121.134,1.997028
11/18/2013,78874,291.0052,38.49714,-121.567,1.997026
3/30/2016,73168,379.1344,36.78878,-120.241,1.997021
7/15/2014,74786,287.4303746,37.39364214,-120.811297,1.997005483
2/13/2013,72731,259.2420272,36.2803083,-121.1882765,1.996993413
3/17/2016,74261,335.5296,38.55453,-121.64,1.996981
2/13/2014,79970,309.0415,37.00188,-120.97,1.996977
6/11/2015,68211,621.3061,38.66343,-121.161,1.996967
3/30/2016,73171,346.7338,36.79193,-120.241,1.996967
6/11/2015,68209,623.4422,38.66004,-121.162,1.996959
7/15/2014,75181,302.5554034,37.14847814,-120.2985535,1.996921302
7/29/2015,76888,284.4042,38.46864,-121.632,1.996871
8/6/2014,64925,-17.8998,37.40441,-122.046,1.996863
7/29/2015,77478,628.4274,38.74815,-121.249,1.99686
8/3/2011,69915,153.554237,37.43369825,-122.0518986,1.996852008
6/10/2014,68761,462.0886,35.43216,-118.966,1.996848
3/17/2016,73622,497.6317,38.71628,-121.081,1.996831
4/24/2015,78379,459.8166,35.60594,-119.109,1.99683
3/17/2016,73274,318.9661,38.40724,-121.176,1.996821
7/25/2014,70282,478.6385,37.43299,-120.65,1.996819
7/29/2015,77542,632.3678,38.75059,-121.341,1.996777
9/16/2014,75410,617.1822,35.54849,-119.144,1.996764
7/29/2015,76836,318.4721,38.52565,-121.628,1.996735
2/4/2013,85692,391.4104137,37.63841843,-121.888069,1.996700793
3/30/2016,71652,303.1468,36.5645,-119.787,1.996688
3/17/2016,73688,362.4329,38.76644,-121.158,1.996676
4/24/2015,78326,436.0127,35.60984,-119.031,1.99667
11/18/2013,78764,265.6881,38.60549,-121.509,1.99666
12/15/2015,72559,260.2728296,37.05700283,-120.6669234,1.996639068
3/30/2016,73182,233.7832,36.80024,-120.251,1.996621
3/30/2016,71929,342.4641,36.31113,-119.629,1.99662
11/17/2015,79948,380.8637,38.57308,-121.638,1.996607
7/29/2015,76687,527.3784,38.63265,-121.594,1.996589
8/19/2015,77259,413.2549,35.26778,-118.786,1.996556
4/24/2015,78368,439.7228,35.60677,-119.093,1.996551
6/11/2015,68277,631.3751,38.73173,-121.201,1.99651
2/13/2013,72734,259.7956748,36.28370843,-121.1919398,1.99650252
3/30/2016,70992,308.5422,37.12077,-120.474,1.996467
7/29/2015,76730,266.4024,38.63725,-121.597,1.996453
1/8/2016,75729,588.1142,34.24538,-118.493,1.996447
7/25/2014,70061,485.8149,37.59789,-120.909,1.996431
1/8/2016,75701,230.601,34.21683,-118.491,1.996422
3/17/2016,73380,363.6975,38.52192,-121.126,1.996416
2/4/2013,85323,327.8568938,37.98641081,-122.0979662,1.996402277
8/6/2014,64996,-17.9102,37.40441,-122.045,1.996389
7/25/2014,68868,474.7255,38.80549,-121.363,1.996386
7/15/2014,74165,296.8809145,37.45924216,-121.0835362,1.996372292
2/13/2014,79828,489.8495,36.85093,-120.872,1.996363
9/16/2014,75501,610.7458,35.58233,-119.017,1.996348
6/10/2014,68674,483.4865,35.4711,-118.982,1.996342
8/19/2015,76845,461.7592,35.24902,-118.823,1.996328
1/31/2013,72953,261.2574903,37.50972618,-122.6947183,1.996312102
2/13/2013,72464,269.8014835,36.04022582,-120.9254989,1.996307207
1/31/2013,71815,294.1578195,38.37494137,-122.7172237,1.996297181
6/10/2014,68658,441.5285,35.45691,-118.968,1.996273
2/13/2013,72768,259.8814292,36.3162503,-121.2269481,1.996261566
4/19/2016,67882,40.08063065,37.39093195,-120.5788234,1.996259906
1/18/2013,75875,393.7213487,37.76822754,-121.5951251,1.99625808
3/30/2016,72052,280.8222,36.26695,-119.796,1.996241
7/25/2014,70419,475.9516,37.32718,-120.501,1.99624
11/18/2013,78891,298.1035,38.47822,-121.559,1.996233
3/30/2016,70990,316.9665,37.12297,-120.477,1.996219
3/30/2016,70302,325.7457,37.70186,-121.208,1.996183
7/29/2015,77530,639.3154,38.75669,-121.324,1.996178
3/30/2016,71989,304.7727,36.28655,-119.709,1.99617
7/29/2015,77490,632.5838,38.75502,-121.265,1.996163
11/17/2015,76989,358.5486,38.87026,-121.358,1.996155
3/17/2016,74388,340.1056,38.40996,-121.57,1.996149
2/13/2013,72724,254.7485641,36.27383992,-121.1812661,1.996141002
3/17/2016,73317,314.6315,38.45091,-121.145,1.996121
5/14/2012,67286,370.714849,37.3320414,-120.55949,1.99606879
7/25/2014,69505,477.685,38.16701,-121.263,1.996055
3/17/2016,73210,310.5799,38.35573,-121.242,1.996031
7/15/2014,75154,304.5548436,37.17366767,-120.3275257,1.996019985
8/6/2014,65004,-17.9155,37.40441,-122.045,1.99598
6/11/2015,68302,627.8408,38.74827,-121.235,1.995949
3/30/2016,72049,286.4874,36.26794,-119.792,1.995944
6/11/2015,69139,452.4687,38.77401,-121.271,1.995938
8/6/2014,64999,-17.9113,37.40441,-122.045,1.995927
3/30/2016,71525,330.977,36.67123,-119.921,1.99591
2/4/2013,85785,356.5427661,37.55452521,-121.9227536,1.995900496
6/11/2015,68280,627.3569,38.73376,-121.204,1.995887
6/4/2014,68070,304.7226,38.67432,-121.486,1.995872
8/6/2014,65023,-17.8886,37.40441,-122.045,1.995861
1/18/2013,72762,330.600642,36.9007083,-121.3311052,1.995859684
2/13/2014,79957,320.2246,36.98787,-120.964,1.995855
12/19/2012,71235,-22.27930388,37.41341603,-122.0490301,1.995845953
1/18/2013,74812,272.883932,38.08803344,-120.9725424,1.995815778
1/31/2013,72917,260.3238965,37.54037165,-122.7133697,1.995809871
8/6/2014,65001,-17.9162,37.40441,-122.045,1.995788
5/8/2014,70087,702.994,37.37412,-120.6,1.995757
6/11/2015,69056,461.6133,38.71437,-121.176,1.995751
6/11/2015,69947,304.7428,38.75744,-121.228,1.995748
12/15/2015,72521,257.7505164,37.05028705,-120.6140457,1.995743944
7/15/2014,75305,288.5439188,37.02869685,-120.1606536,1.995742823
6/11/2015,69944,302.7866,38.75601,-121.224,1.99573
2/13/2013,72717,257.56777,36.2671574,-121.1741651,1.995722444
5/9/2013,70912,304.9005583,37.41854319,-120.9101438,1.995716131
7/29/2015,77509,644.9724,38.76148,-121.293,1.995713
2/13/2013,72532,276.1222946,36.09640866,-120.988132,1.995709659
4/24/2015,78309,459.3344,35.61102,-119.007,1.995699
9/16/2014,75687,587.1017,35.44026,-119.037,1.995687
2/13/2013,73374,378.0615154,36.85580278,-121.7190023,1.995679217
6/10/2014,68873,423.8515,35.41336,-118.99,1.995676
3/30/2016,70278,298.5175,37.72157,-121.235,1.995671
3/5/2014,73507,-22.7046,37.41502,-122.047,1.995665
11/18/2013,78767,271.3239,38.60257,-121.512,1.995663
3/5/2014,78944,244.7947,37.18616,-121.046,1.995656
7/15/2014,75184,296.3095666,37.14569194,-120.2953506,1.995621698
11/17/2015,76938,376.8394,38.866,-121.295,1.995613
5/12/2015,67155,108.9732,37.37352,-120.56,1.9956
9/16/2014,75664,563.3744,35.45657,-119.062,1.995585
3/30/2016,72054,277.2482,36.26595,-119.8,1.99558
9/16/2014,75647,606.0196,35.4728,-119.068,1.995546
7/15/2014,75137,301.2248745,37.19042689,-120.3466884,1.995523187
6/4/2014,68405,275.5767,38.35139,-121.456,1.99551
8/6/2014,65007,-17.9078,37.40441,-122.045,1.995504
7/25/2014,68857,478.454,38.81191,-121.377,1.995463
4/24/2015,78312,464.4078,35.61082,-119.011,1.995453
2/13/2013,72506,270.4160365,36.07444421,-120.963908,1.99542947
7/29/2015,76684,556.9799,38.6354,-121.596,1.995418
9/2/2014,81268,550.9222,37.54759,-121.889,1.995412
1/31/2013,74442,294.7386364,36.78137937,-121.6752966,1.99540692
8/6/2014,65015,-17.8989,37.40441,-122.045,1.995404
3/30/2016,71001,297.1316,37.11418,-120.465,1.9954
11/6/2014,78737,378.379059,36.56911147,-121.7920049,1.995377754
1/8/2016,75685,206.8471,34.19762,-118.489,1.995368
8/6/2014,65040,-17.8772,37.40441,-122.045,1.995342
3/17/2016,73651,407.976,38.742,-121.111,1.995335
1/18/2013,75729,268.6877584,37.91278886,-121.4800486,1.995316136
8/19/2015,77329,460.7861,35.2437,-118.823,1.995304
2/13/2013,72499,271.3554761,36.06880169,-120.9575157,1.995302088
3/30/2016,71941,350.2993,36.30467,-119.644,1.995297
8/3/2011,69895,9.674176608,37.41851824,-122.0515389,1.99527884
12/15/2015,72557,249.851557,37.056954,-120.6631235,1.995278248
11/26/2013,76404,494.5715,37.33417,-122.006,1.995249
1/28/2013,75928,245.9920625,37.00241758,-120.2573348,1.995214519
3/30/2016,71731,283.9122,36.49613,-119.707,1.995183
8/19/2015,76956,476.2578,35.33725,-118.938,1.995173
8/19/2015,76959,477.7676,35.33969,-118.941,1.995172
4/24/2015,78270,421.7931,35.61383,-118.952,1.995124
7/25/2014,70425,482.3067,37.32201,-120.495,1.995111
3/17/2016,71744,469.3109,38.3142,-121.386,1.99511
4/19/2016,67873,37.44012383,37.38295715,-120.5706896,1.995072914
1/31/2013,72904,265.6152046,37.55216393,-122.7205677,1.99503607
1/4/2013,73168,207.6517933,37.25904222,-123.2661765,1.995025627
8/6/2014,65034,-17.8763,37.40441,-122.045,1.995016
8/6/2014,64971,-17.9077,37.40441,-122.046,1.994963
3/23/2016,67892,629.5108,34.30083,-118.532,1.994948
8/6/2014,65018,-17.8949,37.40441,-122.045,1.994945
8/6/2014,65021,-17.8915,37.40441,-122.045,1.994943
2/13/2013,72481,273.2271917,36.05408022,-120.9409837,1.994905729
7/15/2014,74079,294.886178,37.56630739,-121.0912873,1.994892434
3/17/2016,72210,476,38.74251,-121.151,1.994889
8/6/2014,65026,-17.8879,37.40441,-122.045,1.994795
7/29/2015,76906,322.1423,38.45173,-121.62,1.994747
4/24/2015,78370,444.973,35.60656,-119.097,1.994716
8/6/2014,65031,-17.8843,37.40441,-122.045,1.994674
2/4/2013,85722,370.8650167,37.60932369,-121.8809098,1.994638734
8/6/2014,65037,-17.8754,37.40441,-122.045,1.994624
8/19/2015,77333,473.9881,35.24705,-118.824,1.994606
1/31/2013,74603,291.1084461,36.951854,-121.7775597,1.99458114
8/6/2014,64939,-17.9028,37.40441,-122.046,1.994576
8/6/2014,64922,-17.8941,37.40441,-122.046,1.994572
8/6/2014,64930,-17.904,37.40441,-122.046,1.994568
3/30/2016,70291,310.3917,37.71069,-121.22,1.994511
3/17/2016,73991,309.5159,38.85092,-121.566,1.994505
7/25/2014,70457,478.5478,37.29203,-120.462,1.994497
8/6/2014,65010,-17.9038,37.40441,-122.045,1.994462
3/30/2016,73970,326.0811,37.32704,-121.106,1.99446
6/11/2015,68237,669.2389,38.69461,-121.162,1.994456
